geocode,legal_description,total_market_land,last_modified,property_address,sub_category,subdivision,owners__0,land_value,building_value,yoY_difference,market_land_details__0,market_land_details__1,market_land_details__2,market_land_details__4,other_building_details__0,other_building_details__1,other_building_details__2,other_building_details__4,other_building_details__5,other_building_details__8,other_building_details__9,other_building_details__10,other_building_details__12,other_building_details__13,other_building_details__16,other_building_details__17,other_building_details__18,other_building_details__20,other_building_details__21,other_building_details__24,other_building_details__25,other_building_details__26,other_building_details__28,other_building_details__29,other_building_details__32,other_building_details__33,other_building_details__34,other_building_details__36,other_building_details__37,other_building_details__40,other_building_details__41,other_building_details__42,other_building_details__44,other_building_details__45,other_building_details__48,other_building_details__49,other_building_details__50,other_building_details__52,other_building_details__53,building_details__3,building_details__4,building_details__5,building_details__6,building_details__8,building_details__10,building_details__11,building_details__12,building_details__14,building_details__15,building_details__16,building_details__17,building_details__18,other_building_details__56,other_building_details__57,other_building_details__58,other_building_details__60,other_building_details__61,building_details__7,building_details__9,building_details__13,building_details__19,other_building_details__64,other_building_details__65,other_building_details__66,other_building_details__68,other_building_details__69,other_building_details__72,other_building_details__73,other_building_details__74,other_building_details__76,other_building_details__77,other_building_details__80,other_building_details__81,other_building_details__82,other_building_details__84,other_building_details__85,market_land_details__6,market_land_details__7,market_land_details__8,market_land_details__10,building_details__20
03-0927-04-3-28-15-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 1, Lot 41 - 42",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/10/2019 10:02:46 AM,37300,178500,48900,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,192,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-15-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 15, Lot 45 - 46",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/4/2008 3:27:40 PM,37300,201100,52100,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,225,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-09-22-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 20, Lot 28 - 29",0.161,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,6/1/2021 4:34:08 PM,42739,139561,36000,Primary Site,   ,   ,42739,"CPA2 - Paving, concrete, 4""",A,3527,240,  ,CRC1 - Carport,A,3527,198,  ,"CRS2 - Utility Building, metal",A,3527,64,  ,,,,,,,,,,,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,011 - Apartment,8,0,8,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-16-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 24 - 29",0.482,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,1/7/2022 11:26:00 AM,126834,154766,31200,Primary Site,   ,   ,126834,"CPA1 - Paving, asphalt",A,3507,8500,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397 - Flex Warehouse,1,0,0,080 - Flex Warehouse,10,1,10,3-Normal,40,3-Unit or Space Heaters,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-12-03-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 17, Lot 18 - 19",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/22/2022 7:46:45 AM,37300,195510,60000,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,800,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 45, N2 LT 45-46",0.080,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/22/2022 7:46:45 AM,31803,72410,20510,Primary Site,   ,   ,31803,"RRG3 - Garage, frame, detached, unfinished",4,3501,440,  ,RPA2 - Concrete,A,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 45, S2 LT 45-46",0.080,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/22/2022 7:46:45 AM,31803,137597,50500,Primary Site,   ,   ,31803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-07-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 23, Lot 45 - 46",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/22/2022 7:46:45 AM,37300,138800,53500,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,240,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,192,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 30 - 31",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/22/2022 7:46:45 AM,37300,152800,46700,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,756,  ,"RRG3 - Garage, frame, detached, unfinished",1,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-11-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 45 - 46, S50'",0.057,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,29435,161865,42700,Primary Site,   ,   ,29435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-17-08-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 12, Lot 12 - 13",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/26/2011 10:03:13 AM,37300,200500,60700,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,720,  ,RPA2 - Concrete,A,3501,459,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,384,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-09-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 20, Lot 46 - 47, & W2 LT 48",0.201,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/2/2020 1:53:33 PM,39264,146836,53200,Primary Site,   ,   ,39264,"RRG3 - Garage, frame, detached, unfinished",2,3501,420,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-14-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 14, Lot 24 - 26, & W6.23 FT LT 27",0.261,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,41704,252796,86100,Primary Site,   ,   ,41704,"RRG3 - Garage, frame, detached, unfinished",4,3501,533,  ,RPA2 - Concrete,A,3501,176,  ,"RRS1 - Shed, Frame",A,3501,140,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 36, & E13 FT LT 35, W8 FT LT 37",0.148,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,5/23/2017 9:44:48 AM,36591,179309,46600,Primary Site,   ,   ,36591,RPA2 - Concrete,L,3501,500,  ,RPA2 - Concrete,A,3501,128,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-18-04-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 11, Lot 17, & E18.45 FT LT 18",0.140,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,10/11/2015 2:12:38 PM,36115,197590,62992,Primary Site,   ,   ,36115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-27-06-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 2, Lot 42 - 43",0.161,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,9/17/2021 8:53:38 AM,76371,53429,400,Primary Site,   ,   ,76371,"CRF1 - Fence, chain link (commercial)",A,3507,  ,  ,"CPA2 - Paving, concrete, 4""",A,3507,1386,  ,,,,,,,,,,,,,,,,,,,,,,,,,,"373 - Multi-purpose, Retail, single occupancy",1,2005,0,086 - Support Area,7,1,7,1-Poor,40,0-None,0-None,1-Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-16-19-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 16, Lot 28 - 29",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/6/2021 3:27:04 PM,37300,211000,53700,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,480,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,RPA2 - Concrete,A,3501,  ,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,450,  ,"RRT3 - Deck, stone/tile w/sand base",L,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-06-06-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 22, Lot 13 - 14",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/11/2018 2:01:19 PM,37300,215700,73100,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,308,  ,RPA2 - Concrete,A,3501,888,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-15-07-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 15, Lot 7 - 9",0.250,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,5/28/2014 1:58:04 PM,59999,294401,85000,Primary Site,   ,   ,59999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104 - Residential, 4-family",1,0,0,011 - Apartment,8,0,8,3-Normal,50,4-Electric,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-02-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 19 - 20, & LT 18A BLK 24 YELLOWSTONE ADD AMD (15)",0.269,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,12/15/2010 2:00:28 PM,72355,63345,12200,Primary Site,   ,   ,72355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332 - Auto Equipment Service Garage,1,0,0,047 - Auto Parts/Service,8,1,8,3-Normal,35,3-Unit or Space Heaters,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-01-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 21 - 23",0.241,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,12/15/2010 2:00:28 PM,65200,85300,3900,Primary Site,   ,   ,65200,"CRS1 - Utility Building, frame",A,3507,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"321 - Restaurant, use w/031 Restaurant Use Type ONLY",1,0,0,035 - Tavern/Bar,9,1,9,3-Normal,35,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-15-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 15, Lot 24 - 26, N90' LTS 24-26",0.155,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,41559,184541,43500,Primary Site,   ,   ,41559,"CPA2 - Paving, concrete, 4""",A,3527,70,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103 - Residential, 3-family",1,2009,0,011 - Apartment,9,1,9,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-23-12-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 7, Lot 1 - 2",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,3/14/2013 10:58:32 AM,37300,194300,56600,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,172,  ,"RRS2 - Shed, residential, metal",C,3501,80,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-23-07-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 7, Lot 10 - 11",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,238700,63500,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,720,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,944,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-27-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 2, Lot 29 - 30",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,197000,49500,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,"RRS2 - Shed, residential, metal",A,3501,80,  ,"RRS1 - Shed, Frame",L,3501,63,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-09-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 20, Lot 4 - 5, &  W2 LT 3",0.201,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/20/2018 11:41:25 AM,39264,167936,45800,Primary Site,   ,   ,39264,"RRG4 - Garage, masonry, detached, unfinished",4,3501,286,  ,"RRS2 - Shed, residential, metal",C,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-17-12-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 12, Lot 4 - 5",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,209200,58300,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,870,  ,RPA2 - Concrete,A,3501,216,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-16-11-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 16, Lot 45 - 46",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,3/30/2017 9:34:49 AM,37300,206300,61600,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,432,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,576,  ,"RRS1 - Shed, Frame",L,3501,  ,  ,"RRS2 - Shed, residential, metal",C,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-26-17-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 3, Lot 38, & W2 LT 39",0.121,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,34912,160788,34000,Primary Site,   ,   ,34912,"RRS1 - Shed, Frame",A,3501,96,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,264,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-25-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 24 - 25",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/7/2017 4:05:23 PM,37300,107200,17000,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,340,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-14-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 14, Lot 38 - 39",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/26/2021 10:26:01 AM,37300,266760,112300,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,150,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-14-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 14, Lot 40 - 41",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/26/2021 10:26:01 AM,37300,187900,57700,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,RPA2 - Concrete,A,3501,680,  ,RPA2 - Concrete,A,3501,96,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-20-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 9, Lot 27 - 28, &W5 FT LT 29",0.177,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,5/20/2022 1:40:56 PM,38127,214040,60892,Primary Site,   ,   ,38127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-06-4001,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 1 - 8, 2005 MOUNTAIN MUDD EXPRESSO KIOSK  10X12  4001 MONTANA AVE (aka MONTANA CHAD'S)  AKA TAX CODE I007500 IMP LOCATED@ A193030 (17)",0.000,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,12/23/2022 8:23:40 AM,0,47140,38710,,,,,CKF1 - Kiosk,A,3507,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-05-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 21, Lot 33 - 34",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/30/2020 12:14:07 AM,37300,192400,51800,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,280,  ,RPA2 - Concrete,A,3501,544,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 43 - 44",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/27/2013 2:48:34 PM,37300,82050,22500,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,50,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-09-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 7 - 8, & E8.69 FT LT 9",0.188,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/16/2020 5:03:06 PM,38687,171913,53200,Primary Site,   ,   ,38687,"RRS1 - Shed, Frame",L,3501,80,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 39 - 40",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,1/7/2019 3:46:59 PM,37300,154470,43600,Primary Site,   ,   ,37300,"RRS2 - Shed, residential, metal",C,3501,48,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-26-05-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 3, Lot 13 - 14",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/3/2013 2:51:42 PM,37300,214900,70600,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-18-08-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 11, Lot 9 - 10",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,2/3/2022 9:00:02 AM,37300,218200,56900,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,750,  ,RPA2 - Concrete,A,3501,240,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,720,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-17-06-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 12, Lot 16 - 17",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/28/2021 8:30:28 AM,37300,185000,56000,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,330,  ,RPA2 - Concrete,A,3501,280,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-28-18-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 1, Lot 34 - 35",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/10/2010 10:50:03 AM,37300,191600,67200,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,200,  ,RPA2 - Concrete,A,3501,850,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-15-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 43 - 44",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,5/11/2011 10:02:16 AM,37300,139100,49500,Primary Site,   ,   ,37300,"RRG1 - Garage, frame, detached, finished",3,3501,264,  ,RRC2 - Canopy,3,3501,  ,  ,"RRS1 - Shed, Frame",L,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 27 - 29",0.241,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,11/23/2020 11:11:39 AM,58400,180400,15800,Primary Site,   ,   ,58400,"CPA2 - Paving, concrete, 4""",A,3527,1600,  ,"CGFU - Garage, detached, frame, unfinished",A,3527,480,  ,,,,,,,,,,,,,,,,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,011 - Apartment,8,1,8,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-17-05-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 12, Lot 18 - 19",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/10/2012 1:59:12 PM,37300,192500,50700,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,704,  ,"RRS2 - Shed, residential, metal",C,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-20-06-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 9, Lot 9 - 10",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,164900,58200,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,252,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-20-05-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 9, Lot 11 - 12",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,3430,3290,Primary Site,   ,   ,37300,"RRS1 - Shed, Frame",L,3501,834,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-06-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 22, Lot 5 - 6, & W1 FT LT 4",0.164,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/21/2009 7:59:27 AM,37470,171830,41500,Primary Site,   ,   ,37470,RPA2 - Concrete,A,3501,266,  ,"RRS1 - Shed, Frame",A,3501,192,  ,"RRS1 - Shed, Frame",A,3501,80,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-15-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 15, Lot 37 - 38",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/29/2013 3:49:02 PM,37300,184100,44400,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
